ruta_id,ruta_nombre,personajes,etapa_vida,medio_transporte,waypoint_orden,waypoint_lugar,waypoint_tipo,latitud,longitud,dist_segmento_m,NAINr500m,NAINr1500m,NAINr5000m,NACHr500m,NACHr1500m,NACHr5000m,Ta_mean,UHI_mean
12,Ruta de Ramiro — Cuernavaca y el parque,"Susana, Ramiro",Adulta,coche,2,Calles de CDMX en coche,transito,19.41,-99.17,30.0,1.26,1.48,1.53,1.0,1.06,0.93,23.63,0.04
12,Ruta de Ramiro — Cuernavaca y el parque,"Susana, Ramiro",Adulta,coche,3,Parque (paseos dominicales),recreacion,19.358,-99.185,42.4,1.43,1.35,1.44,1.06,1.11,1.06,24.75,0.34
12,Ruta de Ramiro — Cuernavaca y el parque,"Susana, Ramiro",Adulta,coche,4,Carretera a Cuernavaca,transito,19.15,-99.2,2378.7,1.37,1.17,1.04,0.67,0.77,0.77,20.15,-0.9
13,Ruta del padre migrante — Provincia a CDMX,"Padre, Madre",Pre-Susana,"tren, camion",4,Ciudad de Mexico (destino),destino,19.4326,-99.1332,80.0,1.62,2.04,1.88,1.09,1.23,1.19,28.23,1.27
13,Ruta del padre migrante — Provincia a CDMX,"Padre, Madre",Pre-Susana,"tren, camion",5,Apartamento calle Jalapa (hogar),destino_final,19.4117,-99.1596,10.5,1.37,1.46,1.63,1.19,1.14,1.11,25.77,0.61
14,Ruta de la mudanza — Zacatecas a lo desconocido,"Susana, Lourdes, Claude",Adulta,"camion_mudanza, coche",1,Apartamento calle Zacatecas,origen,19.4164,-99.1567,2.2,1.74,2.07,2.15,1.05,1.18,1.2,26.47,0.8
14,Ruta de la mudanza — Zacatecas a lo desconocido,"Susana, Lourdes, Claude",Adulta,"camion_mudanza, coche",2,Comida (pausa),pausa,19.4155,-99.162,4.1,2.02,1.99,1.98,1.14,1.26,1.26,26.4,0.78
14,Ruta de la mudanza — Zacatecas a lo desconocido,"Susana, Lourdes, Claude",Adulta,"camion_mudanza, coche",3,Nuevo apartamento (sur de la ciudad),destino,19.35,-99.175,52.5,1.53,1.3,1.3,1.17,1.23,1.16,24.88,0.37
15,Ruta de Ramiro joven — Zona Rosa en coche,Ramiro,Juventud de Ramiro,coche,1,Casa de Ramiro (Pedregal/sur),origen,19.315,-99.192,413.3,0.78,1.1,1.22,0.53,0.99,1.09,23.44,-0.02
15,Ruta de Ramiro joven — Zona Rosa en coche,Ramiro,Juventud de Ramiro,coche,2,Calles de la Zona Rosa,recorrido,19.4249,-99.1641,51.3,1.5,1.75,1.8,0.99,1.24,1.26,26.8,0.89
15,Ruta de Ramiro joven — Zona Rosa en coche,Ramiro,Juventud de Ramiro,coche,3,Cines,destino,19.4248,-99.1645,36.1,1.43,1.5,1.54,1.12,1.13,1.0,26.83,0.89
16,Ruta de la ventana — Sin moverse,"Susana, Lourdes",Todas,ninguno,1,Ventana del apartamento (Zacatecas/Jalapa),origen_fijo,19.414,-99.158,41.6,1.62,1.99,2.12,0.92,1.13,1.2,26.31,0.75
16,Ruta de la ventana — Sin moverse,"Susana, Lourdes",Todas,ninguno,2,La ciudad vista desde arriba/adentro,destino_visual,19.4326,-99.1332,80.0,1.62,2.04,1.88,1.09,1.23,1.19,28.23,1.27
